CMDLINE /usr/bin/python3 shell_sort.py
MEM 7.246094 1632149690.7561
MEM 7.246094 1632149690.7562
MEM 7.246094 1632149690.7563
MEM 7.246094 1632149690.7564
MEM 7.246094 1632149690.7565
MEM 7.246094 1632149690.7566
MEM 7.246094 1632149690.7567
MEM 7.246094 1632149690.7569
MEM 7.246094 1632149690.7570
MEM 7.609375 1632149690.7572
MEM 7.609375 1632149690.7573
MEM 7.609375 1632149690.7575
MEM 7.609375 1632149690.7576
MEM 7.867188 1632149690.7578
MEM 7.867188 1632149690.7579
MEM 7.867188 1632149690.7581
MEM 7.867188 1632149690.7582
MEM 7.867188 1632149690.7584
MEM 7.867188 1632149690.7585
MEM 7.867188 1632149690.7586
MEM 7.867188 1632149690.7588
MEM 7.867188 1632149690.7589
MEM 7.867188 1632149690.7591
MEM 8.078125 1632149690.7592
MEM 8.078125 1632149690.7594
MEM 8.078125 1632149690.7595
MEM 8.078125 1632149690.7597
MEM 8.078125 1632149690.7598
MEM 8.078125 1632149690.7599
MEM 8.078125 1632149690.7601
MEM 8.078125 1632149690.7602
MEM 8.078125 1632149690.7604
MEM 8.078125 1632149690.7605
MEM 8.078125 1632149690.7607
MEM 8.078125 1632149690.7608
MEM 8.078125 1632149690.7610
MEM 8.078125 1632149690.7611
MEM 8.078125 1632149690.7612
MEM 8.078125 1632149690.7614
MEM 8.078125 1632149690.7615
MEM 8.437500 1632149690.7617
MEM 8.437500 1632149690.7619
MEM 8.437500 1632149690.7620
MEM 8.437500 1632149690.7622
MEM 8.437500 1632149690.7623
MEM 8.437500 1632149690.7625
MEM 8.437500 1632149690.7626
MEM 8.437500 1632149690.7627
MEM 8.683594 1632149690.7629
MEM 8.683594 1632149690.7630
MEM 8.683594 1632149690.7631
MEM 8.683594 1632149690.7632
MEM 8.683594 1632149690.7634
MEM 8.683594 1632149690.7635
MEM 8.683594 1632149690.7636
MEM 8.683594 1632149690.7637
MEM 8.683594 1632149690.7638
MEM 8.683594 1632149690.7639
MEM 8.683594 1632149690.7641
MEM 8.683594 1632149690.7642
MEM 8.683594 1632149690.7643
MEM 8.929688 1632149690.7644
MEM 8.929688 1632149690.7646
MEM 8.929688 1632149690.7647
MEM 8.929688 1632149690.7648
MEM 8.929688 1632149690.7649
MEM 8.929688 1632149690.7650
MEM 8.929688 1632149690.7652
MEM 8.984375 1632149690.7653
MEM 8.984375 1632149690.7654
MEM 8.984375 1632149690.7655
MEM 8.984375 1632149690.7656
MEM 8.984375 1632149690.7658
MEM 8.984375 1632149690.7659
MEM 8.984375 1632149690.7660
MEM 8.984375 1632149690.7661
MEM 8.984375 1632149690.7663
MEM 8.984375 1632149690.7664
MEM 8.984375 1632149690.7665
MEM 9.238281 1632149690.7666
MEM 9.238281 1632149690.7667
MEM 9.238281 1632149690.7669
MEM 9.238281 1632149690.7670
MEM 9.238281 1632149690.7671
MEM 9.238281 1632149690.7672
MEM 9.238281 1632149690.7673
MEM 9.238281 1632149690.7674
MEM 9.238281 1632149690.7675
MEM 9.496094 1632149690.7677
MEM 9.496094 1632149690.7678
MEM 9.496094 1632149690.7679
MEM 9.753906 1632149690.7680
MEM 9.753906 1632149690.7681
MEM 9.753906 1632149690.7682
MEM 10.011719 1632149690.7684
MEM 10.011719 1632149690.7685
MEM 10.269531 1632149690.7686
MEM 10.269531 1632149690.7687
MEM 10.527344 1632149690.7688
MEM 10.527344 1632149690.7689
MEM 10.527344 1632149690.7690
MEM 10.785156 1632149690.7691
MEM 10.785156 1632149690.7692
MEM 11.042969 1632149690.7694
MEM 11.042969 1632149690.7695
MEM 11.300781 1632149690.7696
MEM 11.300781 1632149690.7697
MEM 11.300781 1632149690.7698
MEM 11.558594 1632149690.7699
MEM 11.558594 1632149690.7700
MEM 11.816406 1632149690.7701
MEM 11.816406 1632149690.7702
MEM 11.816406 1632149690.7703
MEM 12.074219 1632149690.7704
MEM 12.074219 1632149690.7705
MEM 12.332031 1632149690.7707
MEM 12.332031 1632149690.7708
MEM 12.589844 1632149690.7709
MEM 12.589844 1632149690.7710
MEM 12.589844 1632149690.7711
MEM 12.589844 1632149690.7712
MEM 12.714844 1632149690.7713
MEM 12.714844 1632149690.7715
MEM 12.808594 1632149690.7716
MEM 12.808594 1632149690.7717
